url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,276,185
/DesirePathGames/Slay-The-Robot/releases/tag/major,192,158
/DesirePathGames/Slay-The-Robot/wiki,50,39
/DesirePathGames/Slay-The-Robot/wiki/Cards,21,15
/DesirePathGames/Slay-The-Robot/tree/main/data,20,13
/DesirePathGames/Slay-The-Robot/tree/main/scripts,19,15
/DesirePathGames/Slay-The-Robot/blob/main/autoload/Global.gd,19,9
/DesirePathGames/Slay-The-Robot/wiki/Animations,18,17
/DesirePathGames/Slay-The-Robot/wiki/Action-System,18,15
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,17,16
